city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Prague,50.0833,14.4167,Czechia,CZ,"Praha, Hlavní Město",primary,1324277,1324277
Brno,49.1953,16.6083,Czechia,CZ,Jihomoravský Kraj,admin,381346,381346
Ostrava,49.8356,18.2925,Czechia,CZ,Moravskoslezský Kraj,admin,287968,287968
Plzeň,49.7414,13.3825,Czechia,CZ,Plzeňský Kraj,admin,174842,174842
Liberec,50.7700,15.0584,Czechia,CZ,Liberecký Kraj,admin,104802,104802
Olomouc,49.5939,17.2508,Czechia,CZ,Olomoucký Kraj,admin,100663,100663
České Budějovice,48.9747,14.4747,Czechia,CZ,Jihočeský Kraj,admin,94463,94463
Hradec Králové,50.2092,15.8319,Czechia,CZ,Královéhradecký Kraj,admin,92939,92939
Ústí nad Labem,50.6592,14.0417,Czechia,CZ,Ústecký Kraj,admin,92716,92716
Pardubice,50.0386,15.7792,Czechia,CZ,Pardubický Kraj,admin,91727,91727
Zlín,49.2331,17.6669,Czechia,CZ,Zlínský Kraj,admin,74935,74935
Havířov,49.7778,18.4228,Czechia,CZ,Moravskoslezský Kraj,,71200,71200
Kladno,50.1431,14.1053,Czechia,CZ,Středočeský Kraj,,69337,69337
Most,50.5031,13.6367,Czechia,CZ,Ústecký Kraj,,66034,66034
Opava,49.9381,17.9044,Czechia,CZ,Moravskoslezský Kraj,,56450,56450
Frýdek-Místek,49.6881,18.3536,Czechia,CZ,Moravskoslezský Kraj,,55557,55557
Karviná,49.8542,18.5428,Czechia,CZ,Moravskoslezský Kraj,,52128,52128
Jihlava,49.4003,15.5906,Czechia,CZ,Vysočina,admin,51216,51216
Teplice,50.6333,13.8167,Czechia,CZ,Ústecký Kraj,,49731,49731
Chomutov,50.4628,13.4111,Czechia,CZ,Ústecký Kraj,,48635,48635
Děčín,50.7736,14.1961,Czechia,CZ,Ústecký Kraj,,48594,48594
Karlovy Vary,50.2306,12.8725,Czechia,CZ,Karlovarský Kraj,admin,48479,48479
Jablonec nad Nisou,50.7278,15.1700,Czechia,CZ,Liberecký Kraj,,45773,45773
Mladá Boleslav,50.4125,14.9064,Czechia,CZ,Středočeský Kraj,,44740,44740
Prostějov,49.4722,17.1106,Czechia,CZ,Olomoucký Kraj,,43651,43651
Přerov,49.4556,17.4511,Czechia,CZ,Olomoucký Kraj,,42871,42871
Česká Lípa,50.6856,14.5377,Czechia,CZ,Liberecký Kraj,,37525,37525
Třebíč,49.2150,15.8817,Czechia,CZ,Vysočina,,35451,35451
Třinec,49.6776,18.6708,Czechia,CZ,Moravskoslezský Kraj,,35002,35002
Tábor,49.4145,14.6578,Czechia,CZ,Jihočeský Kraj,,34277,34277
Znojmo,48.8555,16.0488,Czechia,CZ,Jihomoravský Kraj,,33765,33765
Příbram,49.6900,14.0105,Czechia,CZ,Středočeský Kraj,,32503,32503
Cheb,50.0798,12.3740,Czechia,CZ,Karlovarský Kraj,,31977,31977
Kolín,50.0282,15.2006,Czechia,CZ,Středočeský Kraj,,31973,31973
Písek,49.3089,14.1475,Czechia,CZ,Jihočeský Kraj,,30415,30415
Trutnov,50.5610,15.9128,Czechia,CZ,Královéhradecký Kraj,,30234,30234
Orlová,49.8452,18.4302,Czechia,CZ,Moravskoslezský Kraj,,28735,28735
Kroměříž,49.2979,17.3931,Czechia,CZ,Zlínský Kraj,,28620,28620
Břevnov,50.0833,14.3579,Czechia,CZ,Středočeský Kraj,,26275,26275
Vsetín,49.3387,17.9962,Czechia,CZ,Zlínský Kraj,,25974,25974
Šumperk,49.9653,16.9707,Czechia,CZ,Olomoucký Kraj,,25836,25836
Uherské Hradiště,49.0698,17.4597,Czechia,CZ,Zlínský Kraj,,25247,25247
Břeclav,48.7590,16.8820,Czechia,CZ,Jihomoravský Kraj,,24743,24743
Hodonín,48.8490,17.1324,Czechia,CZ,Jihomoravský Kraj,,24512,24512
Český Těšín,49.7461,18.6262,Czechia,CZ,Moravskoslezský Kraj,,24297,24297
Litoměřice,50.5336,14.1319,Czechia,CZ,Ústecký Kraj,,23849,23849
Litvínov,50.6008,13.6112,Czechia,CZ,Ústecký Kraj,,23661,23661
Havlíčkův Brod,49.6079,15.5807,Czechia,CZ,Vysočina,,23442,23442
Nový Jičín,49.5944,18.0103,Czechia,CZ,Moravskoslezský Kraj,,23260,23260
Krnov,50.0897,17.7039,Czechia,CZ,Moravskoslezský Kraj,,23257,23257
Chrudim,49.9511,15.7956,Czechia,CZ,Pardubický Kraj,,23168,23168
Sokolov,50.1814,12.6402,Czechia,CZ,Karlovarský Kraj,,23033,23033
Strakonice,49.2615,13.9024,Czechia,CZ,Jihočeský Kraj,,22646,22646
Valašské Meziříčí,49.4718,17.9712,Czechia,CZ,Zlínský Kraj,,22306,22306
Klatovy,49.3956,13.2951,Czechia,CZ,Plzeňský Kraj,,22257,22257
Kopřivnice,49.5995,18.1448,Czechia,CZ,Moravskoslezský Kraj,,21851,21851
Jindřichŭv Hradec,49.1441,15.0030,Czechia,CZ,Jihočeský Kraj,,21419,21419
Vyškov,49.2775,16.9990,Czechia,CZ,Jihomoravský Kraj,,20807,20807
Žďár nad Sázavou,49.5627,15.9393,Czechia,CZ,Vysočina,,20717,20717
Kutná Hora,49.9484,15.2682,Czechia,CZ,Středočeský Kraj,,20653,20653
Bohumín,49.9041,18.3576,Czechia,CZ,Moravskoslezský Kraj,,20518,20518
Blansko,49.3632,16.6432,Czechia,CZ,Jihomoravský Kraj,,20484,20484
Náchod,50.4167,16.1630,Czechia,CZ,Královéhradecký Kraj,,19897,19897
Beroun,49.9639,14.0721,Czechia,CZ,Středočeský Kraj,,19641,19641
Mělník,50.3506,14.4742,Czechia,CZ,Středočeský Kraj,,19559,19559
Brandýs nad Labem-Stará Boleslav,50.1872,14.6633,Czechia,CZ,Středočeský Kraj,,19255,19255
Jirkov,50.4999,13.4478,Czechia,CZ,Ústecký Kraj,,19241,19241
Žatec,50.3273,13.5459,Czechia,CZ,Ústecký Kraj,,19047,19047
Kralupy nad Vltavou,50.2411,14.3116,Czechia,CZ,Středočeský Kraj,,18388,18388
Louny,50.3571,13.7968,Czechia,CZ,Ústecký Kraj,,18313,18313
Kadaň,50.3761,13.2714,Czechia,CZ,Ústecký Kraj,,18246,18246
Hranice,49.5480,17.7347,Czechia,CZ,Olomoucký Kraj,,17999,17999
Otrokovice,49.2099,17.5308,Czechia,CZ,Zlínský Kraj,,17879,17879
Bílina,50.5486,13.7754,Czechia,CZ,Ústecký Kraj,,17200,17200
Svitavy,49.7560,16.4683,Czechia,CZ,Pardubický Kraj,,16758,16758
Benešov,49.7817,14.6870,Czechia,CZ,Středočeský Kraj,,16758,16758
Jičín,50.4373,15.3517,Czechia,CZ,Královéhradecký Kraj,,16717,16717
Ostrov,50.3060,12.9392,Czechia,CZ,Karlovarský Kraj,,16658,16658
Uherský Brod,49.0251,17.6472,Czechia,CZ,Zlínský Kraj,,16441,16441
Rožnov pod Radhoštěm,49.4585,18.1430,Czechia,CZ,Zlínský Kraj,,16398,16398
Neratovice,50.2593,14.5177,Czechia,CZ,Středočeský Kraj,,16191,16191
Bruntál,49.9884,17.4648,Czechia,CZ,Moravskoslezský Kraj,,16138,16138
Pelhřimov,49.4314,15.2234,Czechia,CZ,Vysočina,,16048,16048
Říčany,49.9917,14.6543,Czechia,CZ,Středočeský Kraj,,15908,15908
Slaný,50.2305,14.0870,Czechia,CZ,Středočeský Kraj,,15864,15864
Rakovník,50.1038,13.7335,Czechia,CZ,Středočeský Kraj,,15709,15709
Dvůr Králové nad Labem,50.4318,15.8141,Czechia,CZ,Královéhradecký Kraj,,15550,15550
Česká Třebová,49.9019,16.4473,Czechia,CZ,Pardubický Kraj,,15384,15384
Varnsdorf,50.9116,14.6184,Czechia,CZ,Liberecký Kraj,,15193,15193
Nymburk,50.1861,15.0417,Czechia,CZ,Středočeský Kraj,,15154,15154
Klášterec nad Ohří,50.3846,13.1714,Czechia,CZ,Ústecký Kraj,,14526,14526
Turnov,50.5873,15.1569,Czechia,CZ,Liberecký Kraj,,14420,14420
Rokycany,49.7428,13.5946,Czechia,CZ,Plzeňský Kraj,,14383,14383
Poděbrady,50.1425,15.1189,Czechia,CZ,Středočeský Kraj,,14377,14377
Ústí nad Orlicí,49.9739,16.3937,Czechia,CZ,Pardubický Kraj,,14280,14280
Hlučín,49.8979,18.1920,Czechia,CZ,Moravskoslezský Kraj,,13931,13931
Zábřeh,49.8826,16.8723,Czechia,CZ,Olomoucký Kraj,,13456,13456
Šternberk,49.7305,17.2989,Czechia,CZ,Olomoucký Kraj,,13440,13440
Chodov,50.2415,12.7534,Czechia,CZ,Karlovarský Kraj,,13300,13300
Aš,50.2240,12.1951,Czechia,CZ,Karlovarský Kraj,,13182,13182
Tachov,49.7954,12.6337,Czechia,CZ,Plzeňský Kraj,,13038,13038
Český Krumlov,48.8110,14.3152,Czechia,CZ,Jihočeský Kraj,,12981,12981
Roudnice nad Labem,50.4254,14.2618,Czechia,CZ,Ústecký Kraj,,12847,12847
Mariánské Lázně,49.9647,12.7012,Czechia,CZ,Karlovarský Kraj,,12795,12795
Krupka,50.6846,13.8583,Czechia,CZ,Ústecký Kraj,,12633,12633
Jaroměř,50.3562,15.9214,Czechia,CZ,Královéhradecký Kraj,,12378,12378
Vrchlabí,50.6270,15.6095,Czechia,CZ,Královéhradecký Kraj,,12340,12340
Vysoké Mýto,49.9532,16.1618,Czechia,CZ,Pardubický Kraj,,12288,12288
Čelákovice,50.1605,14.7501,Czechia,CZ,Středočeský Kraj,,12273,12273
Milovice,50.2260,14.8887,Czechia,CZ,Středočeský Kraj,,12098,12098
Boskovice,49.4875,16.6600,Czechia,CZ,Jihomoravský Kraj,,11681,11681
Nový Bor,50.7577,14.5557,Czechia,CZ,Liberecký Kraj,,11616,11616
Holešov,49.3333,17.5783,Czechia,CZ,Zlínský Kraj,,11579,11579
Vlašim,49.7064,14.8989,Czechia,CZ,Středočeský Kraj,,11550,11550
Velké Meziříčí,49.3553,16.0123,Czechia,CZ,Vysočina,,11498,11498
Uničov,49.7709,17.1215,Czechia,CZ,Olomoucký Kraj,,11335,11335
Kyjov,49.0102,17.1225,Czechia,CZ,Jihomoravský Kraj,,11185,11185
Domažlice,49.4406,12.9298,Czechia,CZ,Plzeňský Kraj,,11094,11094
Jeseník,50.2294,17.2047,Czechia,CZ,Olomoucký Kraj,,11081,11081
Rumburk,50.9516,14.5571,Czechia,CZ,Ústecký Kraj,,11036,11036
Sušice,49.2312,13.5202,Czechia,CZ,Plzeňský Kraj,,11032,11032
Rychnov nad Kněžnou,50.1629,16.2750,Czechia,CZ,Královéhradecký Kraj,,10999,10999
Kuřim,49.2985,16.5315,Czechia,CZ,Jihomoravský Kraj,,10993,10993
Humpolec,49.5416,15.3594,Czechia,CZ,Vysočina,,10970,10970
Veselí nad Moravou,48.9536,17.3765,Czechia,CZ,Jihomoravský Kraj,,10889,10889
Prachatice,49.0130,13.9975,Czechia,CZ,Jihočeský Kraj,,10840,10840
Frenštát pod Radhoštěm,49.5483,18.2108,Czechia,CZ,Moravskoslezský Kraj,,10837,10837
Litomyšl,49.8721,16.3106,Czechia,CZ,Pardubický Kraj,,10378,10378
Čáslav,49.9110,15.3898,Czechia,CZ,Středočeský Kraj,,10322,10322
Nové Město na Moravě,49.5615,16.0742,Czechia,CZ,Vysočina,,10049,10049
Moravská Třebová,49.7580,16.6643,Czechia,CZ,Pardubický Kraj,,9948,9948
Frýdlant nad Ostravicí,49.5928,18.3597,Czechia,CZ,Moravskoslezský Kraj,,9922,9922
Lanškroun,49.9122,16.6120,Czechia,CZ,Pardubický Kraj,,9906,9906
Přelouč,50.0399,15.5604,Czechia,CZ,Pardubický Kraj,,9880,9880
Lysá nad Labem,50.2015,14.8329,Czechia,CZ,Středočeský Kraj,,9795,9795
Ivančice,49.1015,16.3775,Czechia,CZ,Jihomoravský Kraj,,9760,9760
Litovel,49.7012,17.0762,Czechia,CZ,Olomoucký Kraj,,9738,9738
Králŭv Dvŭr,49.9499,14.0345,Czechia,CZ,Středočeský Kraj,,9690,9690
Jesenice,49.9682,14.5136,Czechia,CZ,Středočeský Kraj,,9682,9682
Hlinsko,49.7622,15.9076,Czechia,CZ,Pardubický Kraj,,9642,9642
Studénka,49.7234,18.0786,Czechia,CZ,Moravskoslezský Kraj,,9477,9477
Nové Město nad Metují,50.3446,16.1515,Czechia,CZ,Královéhradecký Kraj,,9398,9398
Tišnov,49.3487,16.4244,Czechia,CZ,Jihomoravský Kraj,,9258,9258
Mohelnice,49.7770,16.9195,Czechia,CZ,Olomoucký Kraj,,9234,9234
Chotěboř,49.7208,15.6702,Czechia,CZ,Vysočina,,9178,9178
Nová Paka,50.4945,15.5151,Czechia,CZ,Liberecký Kraj,,9072,9072
Dobříš,49.7812,14.1672,Czechia,CZ,Středočeský Kraj,,8960,8960
Mnichovo Hradiště,50.5273,14.9714,Czechia,CZ,Středočeský Kraj,,8846,8846
Lovosice,50.5151,14.0511,Czechia,CZ,Ústecký Kraj,,8840,8840
Polička,49.7147,16.2655,Czechia,CZ,Pardubický Kraj,,8813,8813
Hostivice,50.0817,14.2586,Czechia,CZ,Středočeský Kraj,,8788,8788
Štětí,50.4531,14.3743,Czechia,CZ,Ústecký Kraj,,8695,8695
Choceň,50.0016,16.2231,Czechia,CZ,Pardubický Kraj,,8648,8648
Roztoky,50.1585,14.3977,Czechia,CZ,Středočeský Kraj,,8645,8645
Duchcov,50.6039,13.7463,Czechia,CZ,Ústecký Kraj,,8564,8564
Hořice,50.3661,15.6319,Czechia,CZ,Královéhradecký Kraj,,8533,8533
Příbor,49.6409,18.1450,Czechia,CZ,Moravskoslezský Kraj,,8476,8476
Červený Kostelec,50.4763,16.0930,Czechia,CZ,Královéhradecký Kraj,,8360,8360
Semily,50.6020,15.3356,Czechia,CZ,Liberecký Kraj,,8353,8353
Milevsko,49.4510,14.3600,Czechia,CZ,Jihočeský Kraj,,8280,8280
Třeboň,49.0037,14.7707,Czechia,CZ,Jihočeský Kraj,,8217,8217
Rýmařov,49.9318,17.2718,Czechia,CZ,Moravskoslezský Kraj,,8181,8181
Bystřice pod Hostýnem,49.3992,17.6740,Czechia,CZ,Zlínský Kraj,,8144,8144
Bystřice nad Pernštejnem,49.5230,16.2615,Czechia,CZ,Vysočina,,8004,8004
Lipník nad Bečvou,49.5275,17.5863,Czechia,CZ,Olomoucký Kraj,,7982,7982
Týn nad Vltavou,49.2235,14.4206,Czechia,CZ,Jihočeský Kraj,,7960,7960
Dubí,50.6811,13.7889,Czechia,CZ,Ústecký Kraj,,7876,7876
Nejdek,50.3225,12.7294,Czechia,CZ,Karlovarský Kraj,,7806,7806
Stříbro,49.7530,13.0041,Czechia,CZ,Plzeňský Kraj,,7738,7738
Hrádek nad Nisou,50.8529,14.8447,Czechia,CZ,Liberecký Kraj,,7735,7735
Šlapanice,49.1687,16.7273,Czechia,CZ,Jihomoravský Kraj,,7599,7599
Rychvald,49.8662,18.3763,Czechia,CZ,Moravskoslezský Kraj,,7536,7536
Frýdlant,50.9215,15.0799,Czechia,CZ,Liberecký Kraj,,7476,7476
Benátky nad Jizerou,50.2909,14.8235,Czechia,CZ,Středočeský Kraj,,7459,7459
Mikulov,48.8056,16.6378,Czechia,CZ,Jihomoravský Kraj,,7455,7455
Vimperk,49.0525,13.7743,Czechia,CZ,Jihočeský Kraj,,7440,7440
Bílovec,49.7564,18.0159,Czechia,CZ,Moravskoslezský Kraj,,7394,7394
Broumov,50.5857,16.3319,Czechia,CZ,Královéhradecký Kraj,,7370,7370
Moravské Budějovice,49.0521,15.8087,Czechia,CZ,Vysočina,,7300,7300
Vratimov,49.7699,18.3102,Czechia,CZ,Moravskoslezský Kraj,,7293,7293
Dačice,49.0816,15.4373,Czechia,CZ,Jihočeský Kraj,,7288,7288
Odry,49.6625,17.8309,Czechia,CZ,Moravskoslezský Kraj,,7285,7285
Kaplice,48.7386,14.4963,Czechia,CZ,Jihočeský Kraj,,7282,7282
Petřvald,49.8310,18.3894,Czechia,CZ,Moravskoslezský Kraj,,7237,7237
Sezimovo Ústí,49.3853,14.6848,Czechia,CZ,Jihočeský Kraj,,7221,7221
Napajedla,49.1716,17.5120,Czechia,CZ,Zlínský Kraj,,7171,7171
Přeštice,49.5731,13.3335,Czechia,CZ,Plzeňský Kraj,,7131,7131
Český Brod,50.0743,14.8609,Czechia,CZ,Středočeský Kraj,,7049,7049
Sedlčany,49.6606,14.4267,Czechia,CZ,Středočeský Kraj,,7029,7029
Vodňany,49.1480,14.1751,Czechia,CZ,Jihočeský Kraj,,7028,7028
Nýřany,49.7116,13.2119,Czechia,CZ,Plzeňský Kraj,,6996,6996
Nový Bydžov,50.2416,15.4909,Czechia,CZ,Královéhradecký Kraj,,6935,6935
Slavkov u Brna,49.1533,16.8765,Czechia,CZ,Jihomoravský Kraj,,6916,6916
Soběslav,49.2600,14.7186,Czechia,CZ,Jihočeský Kraj,,6907,6907
Hořovice,49.8361,13.9027,Czechia,CZ,Středočeský Kraj,,6901,6901
Úvaly,50.0740,14.7309,Czechia,CZ,Středočeský Kraj,,6884,6884
Kraslice,50.3238,12.5176,Czechia,CZ,Karlovarský Kraj,,6767,6767
Hulín,49.3169,17.4638,Czechia,CZ,Zlínský Kraj,,6762,6762
Letovice,49.5471,16.5736,Czechia,CZ,Jihomoravský Kraj,,6745,6745
Dobruška,50.2920,16.1601,Czechia,CZ,Královéhradecký Kraj,,6723,6723
Kravaře,49.9320,18.0048,Czechia,CZ,Moravskoslezský Kraj,,6717,6717
Staré Město,49.0752,17.4334,Czechia,CZ,Zlínský Kraj,,6661,6661
Holice,50.0661,15.9860,Czechia,CZ,Pardubický Kraj,,6581,6581
Blatná,49.4250,13.8818,Czechia,CZ,Jihočeský Kraj,,6573,6573
Bučovice,49.1490,17.0019,Czechia,CZ,Jihomoravský Kraj,,6493,6493
Světlá nad Sázavou,49.6681,15.4040,Czechia,CZ,Vysočina,,6490,6490
Mimoň,50.6588,14.7248,Czechia,CZ,Liberecký Kraj,,6443,6443
Letohrad,50.0358,16.4988,Czechia,CZ,Pardubický Kraj,,6406,6406
Šenov,49.7931,18.3761,Czechia,CZ,Moravskoslezský Kraj,,6393,6393
Slavičín,49.0880,17.8735,Czechia,CZ,Zlínský Kraj,,6386,6386
Podbořany,50.2295,13.4120,Czechia,CZ,Ústecký Kraj,,6386,6386
Veselí nad Lužnicí,49.1844,14.6974,Czechia,CZ,Jihočeský Kraj,,6361,6361
Dubňany,48.9170,17.0900,Czechia,CZ,Jihomoravský Kraj,,6352,6352
